env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
250,0,-14.0,-69.0,-83.0,250,,0.9984166666666666,,,,,
500,1,4.0,-75.0,-71.0,250,,0.9968333333333333,,,,,
750,2,10.0,-66.0,-56.0,250,,0.99525,,,,,
1000,3,5.0,-50.0,-45.0,250,0.49940887093544006,0.9936666666666667,,,,,
1250,4,-2.0,-11.0,-13.0,250,,0.9920833333333333,,,,,
1500,5,-4.0,-33.0,-37.0,250,0.14803144335746765,0.9905,,,,,
1750,6,16.0,-47.0,-31.0,250,,0.9889166666666667,,,,,
2000,7,5.0,-57.0,-52.0,250,0.15899024903774261,0.9873333333333333,,,,,
2250,8,-4.0,-45.0,-49.0,250,,0.98575,,,,,
2500,9,-15.0,-35.0,-50.0,250,0.1354813501238823,0.9841666666666666,,,,,
2750,10,15.0,-37.0,-22.0,250,,0.9825833333333334,,,,,
3000,11,-13.0,-41.0,-54.0,250,0.17793156951665878,0.981,,,,,
3250,12,12.0,-75.0,-63.0,250,,0.9794166666666667,,,,,
3500,13,22.0,-28.0,-6.0,250,0.12277617305517197,0.9778333333333333,,,,,
3750,14,8.0,-59.0,-51.0,250,,0.97625,,,,,
4000,15,5.0,-38.0,-33.0,250,0.15072248876094818,0.9746666666666667,,,,,
4250,16,-30.0,-26.0,-56.0,250,,0.9730833333333333,,,,,
4500,17,-11.0,-72.0,-83.0,250,0.1285795271396637,0.9715,,,,,
4750,18,6.0,-55.0,-49.0,250,,0.9699166666666666,,,,,
5000,19,24.0,-19.0,5.0,250,0.11941599287092686,0.9683333333333334,,,,,
5250,20,-10.0,-44.0,-54.0,250,,0.96675,,,,,
5500,21,-4.0,-62.0,-66.0,250,0.03611169569194317,0.9651666666666666,,,,,
5750,22,-3.0,-43.0,-46.0,250,,0.9635833333333333,,,,,
6000,23,27.0,-59.0,-32.0,250,0.07480952702462673,0.962,,,,,
6250,24,-6.0,-47.0,-53.0,250,,0.9604166666666667,,,,,
6500,25,19.0,-64.0,-45.0,250,0.10951220989227295,0.9588333333333333,,,,,
6750,26,-1.0,-5.0,-6.0,250,,0.95725,,,,,
7000,27,1.0,-41.0,-40.0,250,0.09485604800283909,0.9556666666666667,,,,,
7250,28,-4.0,-79.0,-83.0,250,,0.9540833333333334,,,,,
7500,29,-12.0,-26.0,-38.0,250,0.05654839240014553,0.9525,,,,,
7750,30,-13.0,-46.0,-59.0,250,,0.9509166666666666,,,,,
8000,31,12.0,-52.0,-40.0,250,0.07487299852073193,0.9493333333333334,,,,,
8250,32,11.0,-84.0,-73.0,250,,0.94775,,,,,
8500,33,-3.0,-75.0,-78.0,250,0.054244473576545715,0.9461666666666667,,,,,
8750,34,-4.0,-57.0,-61.0,250,,0.9445833333333333,,,,,
9000,35,1.0,-33.0,-32.0,250,0.048806993290781975,0.9430000000000001,,,,,
9250,36,0.0,-45.0,-45.0,250,,0.9414166666666667,,,,,
9500,37,10.0,-31.0,-21.0,250,0.05884167365729809,0.9398333333333333,,,,,
9750,38,19.0,-35.0,-16.0,250,,0.93825,,,,,
10000,39,-2.0,-52.0,-54.0,250,0.0938524417579174,0.9366666666666666,,,,,
10250,40,12.0,-49.0,-37.0,250,,0.9350833333333334,,,,,
10500,41,3.0,-44.0,-41.0,250,0.06715388409793377,0.9335,,,,,
10750,42,14.0,-26.0,-12.0,250,,0.9319166666666667,,,,,
11000,43,2.0,-61.0,-59.0,250,0.03696298226714134,0.9303333333333333,,,,,
11250,44,7.0,-53.0,-46.0,250,,0.92875,,,,,
11500,45,18.0,-45.0,-27.0,250,0.1217067688703537,0.9271666666666667,,,,,
