env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
250,0,63.0,63.0,126.0,250,,0.9960416666666667,,,,,
500,1,59.0,59.0,118.0,250,,0.9920833333333333,,,,,
750,2,59.0,52.0,111.0,250,,0.988125,,,,,
1000,3,60.0,56.0,116.0,250,0.45639070868492126,0.9841666666666666,,,,,
1250,4,72.0,73.0,145.0,250,,0.9802083333333333,,,,,
1500,5,63.0,62.0,125.0,250,0.2291378378868103,0.97625,,,,,
1750,6,86.0,81.0,167.0,250,,0.9722916666666667,,,,,
2000,7,63.0,62.0,125.0,250,0.2094622254371643,0.9683333333333334,,,,,
2250,8,68.0,65.0,133.0,250,,0.964375,,,,,
2500,9,65.0,64.0,129.0,250,0.19443094730377197,0.9604166666666667,,,,,
2750,10,58.0,61.0,119.0,250,,0.9564583333333333,,,,,
3000,11,63.0,63.0,126.0,250,0.28160522878170013,0.9525,,,,,
3250,12,59.0,58.0,117.0,250,,0.9485416666666666,,,,,
3500,13,77.0,76.0,153.0,250,0.19931136816740036,0.9445833333333333,,,,,
3750,14,40.0,42.0,82.0,250,,0.940625,,,,,
4000,15,77.0,75.0,152.0,250,0.2780708521604538,0.9366666666666666,,,,,
4250,16,88.0,89.0,177.0,250,,0.9327083333333334,,,,,
4500,17,60.0,57.0,117.0,250,0.3423215448856354,0.92875,,,,,
4750,18,77.0,76.0,153.0,250,,0.9247916666666667,,,,,
5000,19,97.0,97.0,194.0,250,0.2918119728565216,0.9208333333333334,,,,,
5250,20,71.0,70.0,141.0,250,,0.916875,,,,,
5500,21,65.0,65.0,130.0,250,0.22184455394744873,0.9129166666666667,,,,,
5750,22,62.0,60.0,122.0,250,,0.9089583333333333,,,,,
6000,23,58.0,58.0,116.0,250,0.1875506266951561,0.905,,,,,
6250,24,64.0,65.0,129.0,250,,0.9010416666666666,,,,,
6500,25,80.0,82.0,162.0,250,0.20613675564527512,0.8970833333333333,,,,,
6750,26,63.0,61.0,124.0,250,,0.893125,,,,,
7000,27,56.0,55.0,111.0,250,0.18506494164466858,0.8891666666666667,,,,,
7250,28,94.0,93.0,187.0,250,,0.8852083333333334,,,,,
7500,29,67.0,67.0,134.0,250,0.19586820155382156,0.88125,,,,,
7750,30,81.0,83.0,164.0,250,,0.8772916666666667,,,,,
8000,31,89.0,90.0,179.0,250,0.16969072818756104,0.8733333333333333,,,,,
8250,32,71.0,63.0,134.0,250,,0.869375,,,,,
8500,33,63.0,65.0,128.0,250,0.16763027012348175,0.8654166666666667,,,,,
8750,34,79.0,81.0,160.0,250,,0.8614583333333333,,,,,
9000,35,97.0,104.0,201.0,250,0.2634136974811554,0.8575,,,,,
9250,36,46.0,48.0,94.0,250,,0.8535416666666666,,,,,
9500,37,70.0,72.0,142.0,250,0.1941552832722664,0.8495833333333334,,,,,
9750,38,84.0,82.0,166.0,250,,0.8456250000000001,,,,,
10000,39,92.0,88.0,180.0,250,0.17430368810892105,0.8416666666666667,,,,,
10250,40,95.0,92.0,187.0,250,,0.8377083333333333,,,,,
10500,41,65.0,64.0,129.0,250,0.1504065915942192,0.83375,,,,,
10750,42,76.0,72.0,148.0,250,,0.8297916666666667,,,,,
11000,43,31.0,31.0,62.0,250,0.1259395182132721,0.8258333333333334,,,,,
11250,44,54.0,53.0,107.0,250,,0.821875,,,,,
11500,45,53.0,47.0,100.0,250,0.21147102862596512,0.8179166666666666,,,,,
11750,46,57.0,56.0,113.0,250,,0.8139583333333333,,,,,
12000,47,87.0,87.0,174.0,250,0.2106023207306862,0.81,,,,,
12250,48,78.0,78.0,156.0,250,,0.8060416666666667,,,,,
12500,49,82.0,75.0,157.0,250,0.21819278597831726,0.8020833333333334,,,,,
12750,50,61.0,62.0,123.0,250,,0.798125,,,,,
13000,51,74.0,76.0,150.0,250,0.18229813873767853,0.7941666666666667,,,,,
13250,52,61.0,61.0,122.0,250,,0.7902083333333334,,,,,
13500,53,57.0,60.0,117.0,250,0.14881637692451477,0.78625,,,,,
13750,54,76.0,75.0,151.0,250,,0.7822916666666667,,,,,
14000,55,79.0,85.0,164.0,250,0.17798562720417976,0.7783333333333333,,,,,
14250,56,68.0,63.0,131.0,250,,0.774375,,,,,
14500,57,56.0,58.0,114.0,250,0.20634441077709198,0.7704166666666666,,,,,
14750,58,60.0,57.0,117.0,250,,0.7664583333333334,,,,,
15000,59,80.0,83.0,163.0,250,0.1677846759557724,0.7625,,,,,
15250,60,70.0,69.0,139.0,250,,0.7585416666666667,,,,,
15500,61,78.0,79.0,157.0,250,0.1878216415643692,0.7545833333333334,,,,,
15750,62,66.0,64.0,130.0,250,,0.750625,,,,,
16000,63,84.0,80.0,164.0,250,0.2019139528274536,0.7466666666666667,,,,,
16250,64,82.0,83.0,165.0,250,,0.7427083333333333,,,,,
16500,65,65.0,67.0,132.0,250,0.12028028815984726,0.73875,,,,,
16750,66,74.0,73.0,147.0,250,,0.7347916666666667,,,,,
17000,67,70.0,68.0,138.0,250,0.13805550336837769,0.7308333333333333,,,,,
17250,68,69.0,70.0,139.0,250,,0.726875,,,,,
17500,69,68.0,68.0,136.0,250,0.14851418882608414,0.7229166666666667,,,,,
17750,70,74.0,75.0,149.0,250,,0.7189583333333334,,,,,
18000,71,80.0,77.0,157.0,250,0.2111572027206421,0.7150000000000001,,,,,
18250,72,73.0,73.0,146.0,250,,0.7110416666666667,,,,,
18500,73,73.0,75.0,148.0,250,0.2883621156215668,0.7070833333333333,,,,,
18750,74,64.0,66.0,130.0,250,,0.703125,,,,,
19000,75,71.0,73.0,144.0,250,0.18719656020402908,0.6991666666666667,,,,,
19250,76,70.0,75.0,145.0,250,,0.6952083333333333,,,,,
19500,77,84.0,89.0,173.0,250,0.21184202283620834,0.69125,,,,,
19750,78,73.0,77.0,150.0,250,,0.6872916666666666,,,,,
20000,79,54.0,53.0,107.0,250,0.2525838166475296,0.6833333333333333,,,,,
20250,80,84.0,81.0,165.0,250,,0.6793750000000001,,,,,
20500,81,81.0,72.0,153.0,250,0.18515750020742416,0.6754166666666667,,,,,
20750,82,94.0,91.0,185.0,250,,0.6714583333333334,,,,,
21000,83,86.0,84.0,170.0,250,0.21263156831264496,0.6675,,,,,
21250,84,78.0,75.0,153.0,250,,0.6635416666666667,,,,,
21500,85,67.0,71.0,138.0,250,0.23069978505373,0.6595833333333334,,,,,
21750,86,63.0,65.0,128.0,250,,0.655625,,,,,
22000,87,79.0,80.0,159.0,250,0.26398155838251114,0.6516666666666667,,,,,
22250,88,86.0,83.0,169.0,250,,0.6477083333333333,,,,,
22500,89,67.0,66.0,133.0,250,0.2117304727435112,0.64375,,,,,
22750,90,75.0,75.0,150.0,250,,0.6397916666666668,,,,,
23000,91,81.0,79.0,160.0,250,0.19466768205165863,0.6358333333333333,,,,,
23250,92,79.0,80.0,159.0,250,,0.631875,,,,,
23500,93,89.0,89.0,178.0,250,0.18278969824314117,0.6279166666666667,,,,,
23750,94,99.0,101.0,200.0,250,,0.6239583333333334,,,,,
24000,95,102.0,108.0,210.0,250,0.19617167860269547,0.62,,,,,
24250,96,79.0,76.0,155.0,250,,0.6160416666666666,,,,,
24500,97,91.0,91.0,182.0,250,0.18030273914337158,0.6120833333333333,,,,,
24750,98,77.0,78.0,155.0,250,,0.608125,,,,,
25000,99,86.0,87.0,173.0,250,0.263140968978405,0.6041666666666667,,,,,
25250,100,89.0,90.0,179.0,250,,0.6002083333333333,,,,,
25500,101,60.0,60.0,120.0,250,0.26403532922267914,0.59625,,,,,
25750,102,88.0,92.0,180.0,250,,0.5922916666666667,,,,,
26000,103,92.0,90.0,182.0,250,0.2977699637413025,0.5883333333333334,,,,,
26250,104,96.0,98.0,194.0,250,,0.5843750000000001,,,,,
26500,105,55.0,59.0,114.0,250,0.20912817120552063,0.5804166666666667,,,,,
26750,106,112.0,111.0,223.0,250,,0.5764583333333333,,,,,
27000,107,107.0,108.0,215.0,250,0.22929184883832932,0.5725,,,,,
27250,108,106.0,106.0,212.0,250,,0.5685416666666667,,,,,
27500,109,62.0,68.0,130.0,250,0.231536865234375,0.5645833333333334,,,,,
27750,110,98.0,98.0,196.0,250,,0.5606249999999999,,,,,
28000,111,83.0,85.0,168.0,250,0.19899404793977737,0.5566666666666666,,,,,
28250,112,74.0,73.0,147.0,250,,0.5527083333333334,,,,,
28500,113,78.0,76.0,154.0,250,0.20469403266906738,0.5487500000000001,,,,,
28750,114,81.0,82.0,163.0,250,,0.5447916666666667,,,,,
29000,115,75.0,78.0,153.0,250,0.2813515216112137,0.5408333333333333,,,,,
29250,116,99.0,100.0,199.0,250,,0.536875,,,,,
29500,117,81.0,84.0,165.0,250,0.19272761791944504,0.5329166666666667,,,,,
29750,118,130.0,125.0,255.0,250,,0.5289583333333334,,,,,
30000,119,103.0,104.0,207.0,250,0.19000194221735,0.525,,,,,
30250,120,104.0,105.0,209.0,250,,0.5210416666666666,,,,,
30500,121,82.0,84.0,166.0,250,0.18689128756523132,0.5170833333333333,,,,,
30750,122,87.0,82.0,169.0,250,,0.513125,,,,,
31000,123,113.0,114.0,227.0,250,0.23146045953035355,0.5091666666666667,,,,,
31250,124,133.0,134.0,267.0,250,,0.5052083333333333,,,,,
31500,125,119.0,120.0,239.0,250,0.13479352742433548,0.50125,,,,,
31750,126,107.0,109.0,216.0,250,,0.4972916666666667,,,,,
32000,127,98.0,99.0,197.0,250,0.1957527995109558,0.4933333333333334,,,,,
32250,128,90.0,95.0,185.0,250,,0.489375,,,,,
32500,129,89.0,91.0,180.0,250,0.16163922101259232,0.4854166666666667,,,,,
32750,130,89.0,89.0,178.0,250,,0.48145833333333343,,,,,
33000,131,83.0,82.0,165.0,250,0.2206442952156067,0.47750000000000004,,,,,
33250,132,83.0,86.0,169.0,250,,0.47354166666666664,,,,,
33500,133,84.0,87.0,171.0,250,0.18825960904359818,0.46958333333333335,,,,,
33750,134,98.0,102.0,200.0,250,,0.46562500000000007,,,,,
34000,135,80.0,84.0,164.0,250,0.1871488392353058,0.46166666666666667,,,,,
34250,136,101.0,101.0,202.0,250,,0.4577083333333334,,,,,
34500,137,90.0,87.0,177.0,250,0.1813676804304123,0.4537500000000001,,,,,
34750,138,112.0,113.0,225.0,250,,0.4497916666666666,,,,,
35000,139,99.0,102.0,201.0,250,0.1674000471830368,0.4458333333333333,,,,,
35250,140,108.0,110.0,218.0,250,,0.441875,,,,,
35500,141,103.0,105.0,208.0,250,0.23800165206193924,0.43791666666666673,,,,,
35750,142,96.0,98.0,194.0,250,,0.43395833333333333,,,,,
36000,143,99.0,98.0,197.0,250,0.19266889989376068,0.43000000000000005,,,,,
36250,144,85.0,83.0,168.0,250,,0.42604166666666676,,,,,
36500,145,95.0,92.0,187.0,250,0.1597781926393509,0.42208333333333337,,,,,
36750,146,126.0,130.0,256.0,250,,0.41812499999999997,,,,,
37000,147,105.0,106.0,211.0,250,0.22720342874526978,0.4141666666666667,,,,,
37250,148,94.0,89.0,183.0,250,,0.4102083333333334,,,,,
37500,149,101.0,102.0,203.0,250,0.1936446726322174,0.40625,,,,,
37750,150,100.0,102.0,202.0,250,,0.4022916666666667,,,,,
38000,151,139.0,135.0,274.0,250,0.18844810873270035,0.39833333333333343,,,,,
38250,152,146.0,143.0,289.0,250,,0.39437500000000003,,,,,
38500,153,94.0,97.0,191.0,250,0.21919409185647964,0.39041666666666663,,,,,
38750,154,94.0,86.0,180.0,250,,0.38645833333333335,,,,,
39000,155,117.0,113.0,230.0,250,0.2829206809401512,0.38250000000000006,,,,,
39250,156,112.0,107.0,219.0,250,,0.37854166666666667,,,,,
39500,157,118.0,122.0,240.0,250,0.22816990315914154,0.3745833333333334,,,,,
39750,158,97.0,99.0,196.0,250,,0.3706250000000001,,,,,
40000,159,125.0,124.0,249.0,250,0.16749338060617447,0.3666666666666667,,,,,
40250,160,99.0,98.0,197.0,250,,0.3627083333333334,,,,,
40500,161,95.0,99.0,194.0,250,0.24262148886919022,0.35875,,,,,
40750,162,101.0,102.0,203.0,250,,0.3547916666666666,,,,,
41000,163,86.0,87.0,173.0,250,0.3209419995546341,0.35083333333333333,,,,,
41250,164,118.0,120.0,238.0,250,,0.34687500000000004,,,,,
41500,165,106.0,104.0,210.0,250,0.1564384251832962,0.34291666666666676,,,,,
41750,166,124.0,119.0,243.0,250,,0.33895833333333336,,,,,
42000,167,96.0,99.0,195.0,250,0.2629326581954956,0.3350000000000001,,,,,
42250,168,124.0,122.0,246.0,250,,0.3310416666666667,,,,,
42500,169,141.0,141.0,282.0,250,0.21669266372919083,0.3270833333333333,,,,,
42750,170,132.0,130.0,262.0,250,,0.323125,,,,,
43000,171,95.0,97.0,192.0,250,0.17783624678850174,0.3191666666666667,,,,,
43250,172,119.0,118.0,237.0,250,,0.3152083333333334,,,,,
43500,173,110.0,101.0,211.0,250,0.23066659271717072,0.31125,,,,,
43750,174,131.0,134.0,265.0,250,,0.30729166666666674,,,,,
44000,175,112.0,106.0,218.0,250,0.23876245319843292,0.30333333333333345,,,,,
44250,176,138.0,144.0,282.0,250,,0.29937499999999995,,,,,
44500,177,104.0,103.0,207.0,250,0.21153567731380463,0.29541666666666666,,,,,
44750,178,101.0,91.0,192.0,250,,0.2914583333333334,,,,,
45000,179,111.0,116.0,227.0,250,0.23727207630872726,0.2875000000000001,,,,,
45250,180,100.0,98.0,198.0,250,,0.2835416666666667,,,,,
45500,181,152.0,158.0,310.0,250,0.2488272413611412,0.2795833333333334,,,,,
45750,182,120.0,117.0,237.0,250,,0.2756250000000001,,,,,
46000,183,125.0,125.0,250.0,250,0.21403401345014572,0.2716666666666666,,,,,
46250,184,112.0,119.0,231.0,250,,0.2677083333333333,,,,,
46500,185,103.0,107.0,210.0,250,0.24122072011232376,0.26375000000000004,,,,,
46750,186,124.0,122.0,246.0,250,,0.25979166666666664,,,,,
47000,187,139.0,134.0,273.0,250,0.2511676996946335,0.25583333333333336,,,,,
47250,188,122.0,123.0,245.0,250,,0.25187500000000007,,,,,
47500,189,126.0,119.0,245.0,250,0.17410652339458466,0.24791666666666679,,,,,
47750,190,123.0,118.0,241.0,250,,0.2439583333333334,,,,,
48000,191,148.0,147.0,295.0,250,0.1951364055275917,0.24,,,,,
48250,192,134.0,139.0,273.0,250,,0.2360416666666667,,,,,
48500,193,116.0,118.0,234.0,250,0.2838376611471176,0.2320833333333333,,,,,
48750,194,118.0,121.0,239.0,250,,0.22812500000000002,,,,,
49000,195,156.0,152.0,308.0,250,0.19935382902622223,0.22416666666666674,,,,,
49250,196,153.0,154.0,307.0,250,,0.22020833333333345,,,,,
49500,197,126.0,127.0,253.0,250,0.1698121540248394,0.21625000000000005,,,,,
49750,198,110.0,105.0,215.0,250,,0.21229166666666666,,,,,
50000,199,144.0,150.0,294.0,250,0.20235663652420044,0.20833333333333337,,,,,
50250,200,126.0,126.0,252.0,250,,0.20437499999999997,,,,,
