env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
250,0,70.0,74.0,144.0,250,,0.9960416666666667,,,,,
500,1,62.0,59.0,121.0,250,,0.9920833333333333,,,,,
750,2,38.0,38.0,76.0,250,,0.988125,,,,,
1000,3,78.0,79.0,157.0,250,0.991694301366806,0.9841666666666666,,,,,
1250,4,70.0,69.0,139.0,250,,0.9802083333333333,,,,,
1500,5,55.0,56.0,111.0,250,0.3447801321744919,0.97625,,,,,
1750,6,40.0,37.0,77.0,250,,0.9722916666666667,,,,,
2000,7,84.0,86.0,170.0,250,0.2429395169019699,0.9683333333333334,,,,,
2250,8,59.0,55.0,114.0,250,,0.964375,,,,,
2500,9,72.0,71.0,143.0,250,0.19722582399845123,0.9604166666666667,,,,,
2750,10,47.0,44.0,91.0,250,,0.9564583333333333,,,,,
3000,11,55.0,53.0,108.0,250,0.25761495530605316,0.9525,,,,,
3250,12,47.0,49.0,96.0,250,,0.9485416666666666,,,,,
3500,13,74.0,74.0,148.0,250,0.2623413950204849,0.9445833333333333,,,,,
3750,14,46.0,47.0,93.0,250,,0.940625,,,,,
4000,15,79.0,81.0,160.0,250,0.25506454706192017,0.9366666666666666,,,,,
4250,16,66.0,68.0,134.0,250,,0.9327083333333334,,,,,
4500,17,70.0,73.0,143.0,250,0.29301103949546814,0.92875,,,,,
4750,18,61.0,61.0,122.0,250,,0.9247916666666667,,,,,
5000,19,64.0,67.0,131.0,250,0.26428866386413574,0.9208333333333334,,,,,
5250,20,82.0,82.0,164.0,250,,0.916875,,,,,
5500,21,53.0,56.0,109.0,250,0.14515994861721992,0.9129166666666667,,,,,
5750,22,59.0,60.0,119.0,250,,0.9089583333333333,,,,,
6000,23,63.0,62.0,125.0,250,0.13766469433903694,0.905,,,,,
6250,24,78.0,77.0,155.0,250,,0.9010416666666666,,,,,
6500,25,76.0,83.0,159.0,250,0.13289885967969894,0.8970833333333333,,,,,
6750,26,71.0,71.0,142.0,250,,0.893125,,,,,
7000,27,69.0,69.0,138.0,250,0.2418086677789688,0.8891666666666667,,,,,
7250,28,72.0,73.0,145.0,250,,0.8852083333333334,,,,,
7500,29,74.0,73.0,147.0,250,0.19216521084308624,0.88125,,,,,
7750,30,60.0,60.0,120.0,250,,0.8772916666666667,,,,,
8000,31,80.0,81.0,161.0,250,0.10882319509983063,0.8733333333333333,,,,,
8250,32,57.0,54.0,111.0,250,,0.869375,,,,,
8500,33,96.0,94.0,190.0,250,0.18274009972810745,0.8654166666666667,,,,,
8750,34,76.0,77.0,153.0,250,,0.8614583333333333,,,,,
9000,35,90.0,91.0,181.0,250,0.24584440886974335,0.8575,,,,,
9250,36,81.0,83.0,164.0,250,,0.8535416666666666,,,,,
9500,37,60.0,58.0,118.0,250,0.15536856651306152,0.8495833333333334,,,,,
9750,38,91.0,95.0,186.0,250,,0.8456250000000001,,,,,
10000,39,76.0,75.0,151.0,250,0.16336005181074142,0.8416666666666667,,,,,
10250,40,81.0,87.0,168.0,250,,0.8377083333333333,,,,,
10500,41,58.0,58.0,116.0,250,0.2045852094888687,0.83375,,,,,
10750,42,56.0,49.0,105.0,250,,0.8297916666666667,,,,,
11000,43,75.0,73.0,148.0,250,0.24825472384691238,0.8258333333333334,,,,,
11250,44,99.0,96.0,195.0,250,,0.821875,,,,,
11500,45,61.0,59.0,120.0,250,0.19748251885175705,0.8179166666666666,,,,,
11750,46,39.0,37.0,76.0,250,,0.8139583333333333,,,,,
12000,47,64.0,62.0,126.0,250,0.20362116396427155,0.81,,,,,
12250,48,73.0,73.0,146.0,250,,0.8060416666666667,,,,,
12500,49,96.0,88.0,184.0,250,0.18309235572814941,0.8020833333333334,,,,,
12750,50,57.0,52.0,109.0,250,,0.798125,,,,,
13000,51,94.0,97.0,191.0,250,0.26001761108636856,0.7941666666666667,,,,,
13250,52,72.0,75.0,147.0,250,,0.7902083333333334,,,,,
13500,53,83.0,84.0,167.0,250,0.14492692798376083,0.78625,,,,,
13750,54,78.0,77.0,155.0,250,,0.7822916666666667,,,,,
14000,55,68.0,65.0,133.0,250,0.16590411961078644,0.7783333333333333,,,,,
14250,56,50.0,51.0,101.0,250,,0.774375,,,,,
14500,57,84.0,82.0,166.0,250,0.18502750247716904,0.7704166666666666,,,,,
14750,58,81.0,80.0,161.0,250,,0.7664583333333334,,,,,
15000,59,73.0,73.0,146.0,250,0.23085707426071167,0.7625,,,,,
15250,60,75.0,74.0,149.0,250,,0.7585416666666667,,,,,
15500,61,72.0,68.0,140.0,250,0.14787818491458893,0.7545833333333334,,,,,
15750,62,87.0,85.0,172.0,250,,0.750625,,,,,
16000,63,75.0,76.0,151.0,250,0.24653718620538712,0.7466666666666667,,,,,
16250,64,90.0,95.0,185.0,250,,0.7427083333333333,,,,,
16500,65,73.0,69.0,142.0,250,0.2084156796336174,0.73875,,,,,
16750,66,85.0,86.0,171.0,250,,0.7347916666666667,,,,,
17000,67,67.0,68.0,135.0,250,0.2112799882888794,0.7308333333333333,,,,,
17250,68,71.0,73.0,144.0,250,,0.726875,,,,,
17500,69,70.0,70.0,140.0,250,0.22215018421411514,0.7229166666666667,,,,,
17750,70,90.0,89.0,179.0,250,,0.7189583333333334,,,,,
18000,71,61.0,63.0,124.0,250,0.20247117429971695,0.7150000000000001,,,,,
18250,72,79.0,78.0,157.0,250,,0.7110416666666667,,,,,
18500,73,62.0,64.0,126.0,250,0.23712477087974548,0.7070833333333333,,,,,
18750,74,81.0,82.0,163.0,250,,0.703125,,,,,
19000,75,81.0,83.0,164.0,250,0.19919296354055405,0.6991666666666667,,,,,
19250,76,78.0,76.0,154.0,250,,0.6952083333333333,,,,,
19500,77,77.0,75.0,152.0,250,0.24170465767383575,0.69125,,,,,
19750,78,85.0,90.0,175.0,250,,0.6872916666666666,,,,,
20000,79,53.0,52.0,105.0,250,0.23357334733009338,0.6833333333333333,,,,,
20250,80,112.0,106.0,218.0,250,,0.6793750000000001,,,,,
20500,81,92.0,94.0,186.0,250,0.179177425801754,0.6754166666666667,,,,,
20750,82,64.0,60.0,124.0,250,,0.6714583333333334,,,,,
21000,83,92.0,95.0,187.0,250,0.25733715295791626,0.6675,,,,,
21250,84,83.0,82.0,165.0,250,,0.6635416666666667,,,,,
21500,85,94.0,92.0,186.0,250,0.26072442531585693,0.6595833333333334,,,,,
21750,86,92.0,88.0,180.0,250,,0.655625,,,,,
22000,87,98.0,99.0,197.0,250,0.24162059277296066,0.6516666666666667,,,,,
22250,88,77.0,76.0,153.0,250,,0.6477083333333333,,,,,
22500,89,85.0,83.0,168.0,250,0.22670181095600128,0.64375,,,,,
22750,90,88.0,84.0,172.0,250,,0.6397916666666668,,,,,
23000,91,86.0,82.0,168.0,250,0.27190089225769043,0.6358333333333333,,,,,
23250,92,113.0,110.0,223.0,250,,0.631875,,,,,
23500,93,92.0,87.0,179.0,250,0.19524433463811874,0.6279166666666667,,,,,
23750,94,98.0,99.0,197.0,250,,0.6239583333333334,,,,,
24000,95,93.0,96.0,189.0,250,0.2085801661014557,0.62,,,,,
24250,96,106.0,104.0,210.0,250,,0.6160416666666666,,,,,
24500,97,77.0,78.0,155.0,250,0.23720789700746536,0.6120833333333333,,,,,
24750,98,118.0,114.0,232.0,250,,0.608125,,,,,
25000,99,82.0,79.0,161.0,250,0.17096643149852753,0.6041666666666667,,,,,
25250,100,86.0,89.0,175.0,250,,0.6002083333333333,,,,,
25500,101,91.0,91.0,182.0,250,0.23126434534788132,0.59625,,,,,
25750,102,115.0,113.0,228.0,250,,0.5922916666666667,,,,,
26000,103,85.0,88.0,173.0,250,0.2734287679195404,0.5883333333333334,,,,,
26250,104,115.0,113.0,228.0,250,,0.5843750000000001,,,,,
26500,105,97.0,88.0,185.0,250,0.230610191822052,0.5804166666666667,,,,,
26750,106,93.0,92.0,185.0,250,,0.5764583333333333,,,,,
27000,107,138.0,135.0,273.0,250,0.15443690866231918,0.5725,,,,,
27250,108,108.0,107.0,215.0,250,,0.5685416666666667,,,,,
27500,109,101.0,99.0,200.0,250,0.18259990960359573,0.5645833333333334,,,,,
27750,110,86.0,85.0,171.0,250,,0.5606249999999999,,,,,
28000,111,91.0,90.0,181.0,250,0.27373409271240234,0.5566666666666666,,,,,
28250,112,83.0,86.0,169.0,250,,0.5527083333333334,,,,,
28500,113,100.0,102.0,202.0,250,0.24482376873493195,0.5487500000000001,,,,,
28750,114,87.0,88.0,175.0,250,,0.5447916666666667,,,,,
29000,115,89.0,92.0,181.0,250,0.21982232481241226,0.5408333333333333,,,,,
29250,116,119.0,119.0,238.0,250,,0.536875,,,,,
29500,117,100.0,100.0,200.0,250,0.17547688633203506,0.5329166666666667,,,,,
29750,118,101.0,101.0,202.0,250,,0.5289583333333334,,,,,
30000,119,68.0,70.0,138.0,250,0.29801440238952637,0.525,,,,,
30250,120,107.0,108.0,215.0,250,,0.5210416666666666,,,,,
30500,121,111.0,108.0,219.0,250,0.23560945689678192,0.5170833333333333,,,,,
30750,122,126.0,127.0,253.0,250,,0.513125,,,,,
31000,123,103.0,104.0,207.0,250,0.3247393071651459,0.5091666666666667,,,,,
31250,124,111.0,109.0,220.0,250,,0.5052083333333333,,,,,
31500,125,114.0,114.0,228.0,250,0.2569921463727951,0.50125,,,,,
31750,126,119.0,118.0,237.0,250,,0.4972916666666667,,,,,
32000,127,146.0,142.0,288.0,250,0.2556634694337845,0.4933333333333334,,,,,
32250,128,109.0,108.0,217.0,250,,0.489375,,,,,
32500,129,86.0,86.0,172.0,250,0.24836769700050354,0.4854166666666667,,,,,
32750,130,116.0,119.0,235.0,250,,0.48145833333333343,,,,,
33000,131,116.0,119.0,235.0,250,0.21587638556957245,0.47750000000000004,,,,,
33250,132,107.0,102.0,209.0,250,,0.47354166666666664,,,,,
33500,133,104.0,99.0,203.0,250,0.27825595438480377,0.46958333333333335,,,,,
33750,134,107.0,102.0,209.0,250,,0.46562500000000007,,,,,
34000,135,109.0,106.0,215.0,250,0.17848750948905945,0.46166666666666667,,,,,
34250,136,117.0,117.0,234.0,250,,0.4577083333333334,,,,,
34500,137,118.0,120.0,238.0,250,0.2782089188694954,0.4537500000000001,,,,,
34750,138,109.0,112.0,221.0,250,,0.4497916666666666,,,,,
35000,139,116.0,116.0,232.0,250,0.244485042989254,0.4458333333333333,,,,,
35250,140,86.0,89.0,175.0,250,,0.441875,,,,,
35500,141,130.0,129.0,259.0,250,0.1396067887544632,0.43791666666666673,,,,,
35750,142,121.0,119.0,240.0,250,,0.43395833333333333,,,,,
36000,143,90.0,95.0,185.0,250,0.14525993913412094,0.43000000000000005,,,,,
36250,144,144.0,144.0,288.0,250,,0.42604166666666676,,,,,
36500,145,111.0,110.0,221.0,250,0.24997758865356445,0.42208333333333337,,,,,
36750,146,113.0,116.0,229.0,250,,0.41812499999999997,,,,,
37000,147,138.0,135.0,273.0,250,0.3429625928401947,0.4141666666666667,,,,,
37250,148,98.0,93.0,191.0,250,,0.4102083333333334,,,,,
37500,149,100.0,99.0,199.0,250,0.2236243337392807,0.40625,,,,,
37750,150,110.0,106.0,216.0,250,,0.4022916666666667,,,,,
38000,151,108.0,107.0,215.0,250,0.24395957589149475,0.39833333333333343,,,,,
38250,152,162.0,160.0,322.0,250,,0.39437500000000003,,,,,
38500,153,148.0,146.0,294.0,250,0.1445169933140278,0.39041666666666663,,,,,
38750,154,99.0,99.0,198.0,250,,0.38645833333333335,,,,,
39000,155,118.0,121.0,239.0,250,0.21300008893013,0.38250000000000006,,,,,
39250,156,122.0,120.0,242.0,250,,0.37854166666666667,,,,,
39500,157,109.0,113.0,222.0,250,0.24725228548049927,0.3745833333333334,,,,,
39750,158,97.0,96.0,193.0,250,,0.3706250000000001,,,,,
40000,159,136.0,131.0,267.0,250,0.28449051827192307,0.3666666666666667,,,,,
40250,160,124.0,126.0,250.0,250,,0.3627083333333334,,,,,
40500,161,78.0,82.0,160.0,250,0.2330707535147667,0.35875,,,,,
40750,162,108.0,109.0,217.0,250,,0.3547916666666666,,,,,
41000,163,109.0,107.0,216.0,250,0.25613292306661606,0.35083333333333333,,,,,
41250,164,121.0,118.0,239.0,250,,0.34687500000000004,,,,,
41500,165,126.0,123.0,249.0,250,0.17830875515937805,0.34291666666666676,,,,,
41750,166,131.0,130.0,261.0,250,,0.33895833333333336,,,,,
42000,167,105.0,108.0,213.0,250,0.2554314285516739,0.3350000000000001,,,,,
42250,168,119.0,121.0,240.0,250,,0.3310416666666667,,,,,
42500,169,101.0,95.0,196.0,250,0.286737859249115,0.3270833333333333,,,,,
42750,170,133.0,129.0,262.0,250,,0.323125,,,,,
43000,171,160.0,157.0,317.0,250,0.22223108261823654,0.3191666666666667,,,,,
43250,172,148.0,145.0,293.0,250,,0.3152083333333334,,,,,
43500,173,104.0,111.0,215.0,250,0.291864275932312,0.31125,,,,,
43750,174,138.0,137.0,275.0,250,,0.30729166666666674,,,,,
44000,175,121.0,123.0,244.0,250,0.30082885921001434,0.30333333333333345,,,,,
