env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
250,0,39.0,43.0,82.0,250,,0.9960416666666667,,,,,
500,1,32.0,33.0,65.0,250,,0.9920833333333333,,,,,
750,2,78.0,75.0,153.0,250,,0.988125,,,,,
1000,3,60.0,55.0,115.0,250,0.9727466404438019,0.9841666666666666,,,,,
1250,4,54.0,56.0,110.0,250,,0.9802083333333333,,,,,
1500,5,67.0,64.0,131.0,250,0.485198512673378,0.97625,,,,,
1750,6,76.0,77.0,153.0,250,,0.9722916666666667,,,,,
2000,7,84.0,85.0,169.0,250,0.35990844666957855,0.9683333333333334,,,,,
2250,8,55.0,53.0,108.0,250,,0.964375,,,,,
2500,9,68.0,66.0,134.0,250,0.4855032414197922,0.9604166666666667,,,,,
2750,10,62.0,63.0,125.0,250,,0.9564583333333333,,,,,
3000,11,68.0,63.0,131.0,250,0.4317868798971176,0.9525,,,,,
3250,12,45.0,53.0,98.0,250,,0.9485416666666666,,,,,
3500,13,51.0,47.0,98.0,250,0.2883886694908142,0.9445833333333333,,,,,
3750,14,64.0,66.0,130.0,250,,0.940625,,,,,
4000,15,60.0,59.0,119.0,250,0.48131775856018066,0.9366666666666666,,,,,
4250,16,66.0,63.0,129.0,250,,0.9327083333333334,,,,,
4500,17,74.0,79.0,153.0,250,0.3526727259159088,0.92875,,,,,
4750,18,78.0,73.0,151.0,250,,0.9247916666666667,,,,,
5000,19,55.0,58.0,113.0,250,0.16053107753396034,0.9208333333333334,,,,,
5250,20,53.0,53.0,106.0,250,,0.916875,,,,,
5500,21,67.0,66.0,133.0,250,0.2023397907614708,0.9129166666666667,,,,,
5750,22,43.0,41.0,84.0,250,,0.9089583333333333,,,,,
6000,23,42.0,43.0,85.0,250,0.25417429208755493,0.905,,,,,
6250,24,61.0,63.0,124.0,250,,0.9010416666666666,,,,,
6500,25,85.0,89.0,174.0,250,0.19239019602537155,0.8970833333333333,,,,,
6750,26,61.0,60.0,121.0,250,,0.893125,,,,,
7000,27,65.0,65.0,130.0,250,0.14677417278289795,0.8891666666666667,,,,,
7250,28,66.0,63.0,129.0,250,,0.8852083333333334,,,,,
7500,29,54.0,56.0,110.0,250,0.2039264291524887,0.88125,,,,,
7750,30,71.0,77.0,148.0,250,,0.8772916666666667,,,,,
8000,31,53.0,60.0,113.0,250,0.15702736750245094,0.8733333333333333,,,,,
8250,32,65.0,61.0,126.0,250,,0.869375,,,,,
8500,33,66.0,67.0,133.0,250,0.2182191163301468,0.8654166666666667,,,,,
8750,34,86.0,91.0,177.0,250,,0.8614583333333333,,,,,
9000,35,69.0,70.0,139.0,250,0.16622791439294815,0.8575,,,,,
9250,36,62.0,61.0,123.0,250,,0.8535416666666666,,,,,
9500,37,63.0,66.0,129.0,250,0.14249514043331146,0.8495833333333334,,,,,
9750,38,71.0,71.0,142.0,250,,0.8456250000000001,,,,,
10000,39,48.0,51.0,99.0,250,0.22335213422775269,0.8416666666666667,,,,,
10250,40,74.0,78.0,152.0,250,,0.8377083333333333,,,,,
10500,41,76.0,74.0,150.0,250,0.2176264151930809,0.83375,,,,,
10750,42,72.0,72.0,144.0,250,,0.8297916666666667,,,,,
11000,43,80.0,75.0,155.0,250,0.13310908526182175,0.8258333333333334,,,,,
11250,44,78.0,73.0,151.0,250,,0.821875,,,,,
11500,45,94.0,92.0,186.0,250,0.12060471624135971,0.8179166666666666,,,,,
11750,46,81.0,83.0,164.0,250,,0.8139583333333333,,,,,
12000,47,78.0,78.0,156.0,250,0.1782790683209896,0.81,,,,,
12250,48,49.0,50.0,99.0,250,,0.8060416666666667,,,,,
12500,49,71.0,73.0,144.0,250,0.22792495787143707,0.8020833333333334,,,,,
12750,50,54.0,57.0,111.0,250,,0.798125,,,,,
13000,51,83.0,88.0,171.0,250,0.30470170080661774,0.7941666666666667,,,,,
13250,52,85.0,85.0,170.0,250,,0.7902083333333334,,,,,
13500,53,86.0,84.0,170.0,250,0.1819734051823616,0.78625,,,,,
13750,54,75.0,74.0,149.0,250,,0.7822916666666667,,,,,
14000,55,85.0,84.0,169.0,250,0.21526875346899033,0.7783333333333333,,,,,
14250,56,64.0,64.0,128.0,250,,0.774375,,,,,
14500,57,62.0,61.0,123.0,250,0.121589794754982,0.7704166666666666,,,,,
14750,58,77.0,75.0,152.0,250,,0.7664583333333334,,,,,
15000,59,88.0,88.0,176.0,250,0.18787185847759247,0.7625,,,,,
15250,60,76.0,79.0,155.0,250,,0.7585416666666667,,,,,
15500,61,70.0,71.0,141.0,250,0.10978972911834717,0.7545833333333334,,,,,
15750,62,67.0,67.0,134.0,250,,0.750625,,,,,
16000,63,85.0,87.0,172.0,250,0.15860145539045334,0.7466666666666667,,,,,
16250,64,57.0,57.0,114.0,250,,0.7427083333333333,,,,,
16500,65,80.0,79.0,159.0,250,0.20355606079101562,0.73875,,,,,
16750,66,77.0,77.0,154.0,250,,0.7347916666666667,,,,,
17000,67,70.0,72.0,142.0,250,0.20130538195371628,0.7308333333333333,,,,,
17250,68,103.0,101.0,204.0,250,,0.726875,,,,,
17500,69,67.0,73.0,140.0,250,0.1684931069612503,0.7229166666666667,,,,,
17750,70,89.0,91.0,180.0,250,,0.7189583333333334,,,,,
18000,71,80.0,82.0,162.0,250,0.23505225032567978,0.7150000000000001,,,,,
18250,72,86.0,91.0,177.0,250,,0.7110416666666667,,,,,
18500,73,71.0,76.0,147.0,250,0.17543785274028778,0.7070833333333333,,,,,
18750,74,87.0,88.0,175.0,250,,0.703125,,,,,
19000,75,108.0,104.0,212.0,250,0.24265771359205246,0.6991666666666667,,,,,
19250,76,81.0,83.0,164.0,250,,0.6952083333333333,,,,,
19500,77,81.0,82.0,163.0,250,0.1084679439663887,0.69125,,,,,
19750,78,59.0,62.0,121.0,250,,0.6872916666666666,,,,,
20000,79,95.0,98.0,193.0,250,0.18350663781166077,0.6833333333333333,,,,,
20250,80,85.0,85.0,170.0,250,,0.6793750000000001,,,,,
20500,81,71.0,70.0,141.0,250,0.23152583837509155,0.6754166666666667,,,,,
20750,82,107.0,105.0,212.0,250,,0.6714583333333334,,,,,
21000,83,73.0,75.0,148.0,250,0.2745306193828583,0.6675,,,,,
21250,84,81.0,81.0,162.0,250,,0.6635416666666667,,,,,
21500,85,112.0,110.0,222.0,250,0.1872655488550663,0.6595833333333334,,,,,
21750,86,108.0,106.0,214.0,250,,0.655625,,,,,
22000,87,85.0,81.0,166.0,250,0.14730222523212433,0.6516666666666667,,,,,
22250,88,101.0,100.0,201.0,250,,0.6477083333333333,,,,,
22500,89,92.0,84.0,176.0,250,0.1971035897731781,0.64375,,,,,
22750,90,86.0,88.0,174.0,250,,0.6397916666666668,,,,,
23000,91,108.0,111.0,219.0,250,0.24907706677913666,0.6358333333333333,,,,,
23250,92,99.0,93.0,192.0,250,,0.631875,,,,,
23500,93,117.0,110.0,227.0,250,0.14245109260082245,0.6279166666666667,,,,,
23750,94,75.0,75.0,150.0,250,,0.6239583333333334,,,,,
24000,95,81.0,85.0,166.0,250,0.30442100763320923,0.62,,,,,
24250,96,90.0,97.0,187.0,250,,0.6160416666666666,,,,,
24500,97,87.0,87.0,174.0,250,0.21418020874261856,0.6120833333333333,,,,,
24750,98,94.0,93.0,187.0,250,,0.608125,,,,,
25000,99,107.0,107.0,214.0,250,0.1371472328901291,0.6041666666666667,,,,,
25250,100,66.0,62.0,128.0,250,,0.6002083333333333,,,,,
25500,101,74.0,75.0,149.0,250,0.22750283032655716,0.59625,,,,,
25750,102,98.0,98.0,196.0,250,,0.5922916666666667,,,,,
26000,103,72.0,79.0,151.0,250,0.33034805953502655,0.5883333333333334,,,,,
26250,104,86.0,86.0,172.0,250,,0.5843750000000001,,,,,
26500,105,72.0,70.0,142.0,250,0.24658535420894623,0.5804166666666667,,,,,
26750,106,101.0,102.0,203.0,250,,0.5764583333333333,,,,,
27000,107,80.0,78.0,158.0,250,0.23739933967590332,0.5725,,,,,
