env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
250,0,41.0,-34.0,7.0,250,,0.9984166666666666,,,,,
500,1,11.0,-63.0,-52.0,250,,0.9968333333333333,,,,,
750,2,26.0,-45.0,-19.0,250,,0.99525,,,,,
1000,3,0.0,-39.0,-39.0,250,0.7437921166419983,0.9936666666666667,,,,,
1250,4,0.0,-27.0,-27.0,250,,0.9920833333333333,,,,,
1500,5,6.0,-25.0,-19.0,250,0.40755750238895416,0.9905,,,,,
1750,6,3.0,-67.0,-64.0,250,,0.9889166666666667,,,,,
2000,7,11.0,-60.0,-49.0,250,0.40761494636535645,0.9873333333333333,,,,,
2250,8,5.0,-78.0,-73.0,250,,0.98575,,,,,
2500,9,-7.0,-41.0,-48.0,250,0.2966746464371681,0.9841666666666666,,,,,
2750,10,4.0,-53.0,-49.0,250,,0.9825833333333334,,,,,
3000,11,-15.0,-38.0,-53.0,250,0.3432406634092331,0.981,,,,,
3250,12,-3.0,-77.0,-80.0,250,,0.9794166666666667,,,,,
3500,13,-7.0,-23.0,-30.0,250,0.44900989532470703,0.9778333333333333,,,,,
3750,14,4.0,-78.0,-74.0,250,,0.97625,,,,,
4000,15,-8.0,-80.0,-88.0,250,0.22112923860549927,0.9746666666666667,,,,,
4250,16,3.0,-39.0,-36.0,250,,0.9730833333333333,,,,,
4500,17,6.0,-74.0,-68.0,250,0.3021879494190216,0.9715,,,,,
4750,18,1.0,-41.0,-40.0,250,,0.9699166666666666,,,,,
5000,19,5.0,-76.0,-71.0,250,0.09232615679502487,0.9683333333333334,,,,,
5250,20,-4.0,-51.0,-55.0,250,,0.96675,,,,,
5500,21,-12.0,-37.0,-49.0,250,0.05921843647956848,0.9651666666666666,,,,,
5750,22,5.0,-49.0,-44.0,250,,0.9635833333333333,,,,,
6000,23,10.0,-58.0,-48.0,250,0.07780387625098228,0.962,,,,,
6250,24,11.0,-68.0,-57.0,250,,0.9604166666666667,,,,,
6500,25,5.0,-61.0,-56.0,250,0.06787604466080666,0.9588333333333333,,,,,
6750,26,14.0,-69.0,-55.0,250,,0.95725,,,,,
7000,27,-13.0,-52.0,-65.0,250,0.07170648500323296,0.9556666666666667,,,,,
7250,28,11.0,-51.0,-40.0,250,,0.9540833333333334,,,,,
7500,29,-16.0,-8.0,-24.0,250,0.03460765350610018,0.9525,,,,,
7750,30,-15.0,-53.0,-68.0,250,,0.9509166666666666,,,,,
8000,31,18.0,-46.0,-28.0,250,0.14984837919473648,0.9493333333333334,,,,,
8250,32,1.0,-49.0,-48.0,250,,0.94775,,,,,
8500,33,31.0,-45.0,-14.0,250,0.14329125732183456,0.9461666666666667,,,,,
8750,34,-15.0,-35.0,-50.0,250,,0.9445833333333333,,,,,
9000,35,6.0,-67.0,-61.0,250,0.04847767762839794,0.9430000000000001,,,,,
9250,36,-6.0,-65.0,-71.0,250,,0.9414166666666667,,,,,
9500,37,-12.0,-61.0,-73.0,250,0.04140764847397804,0.9398333333333333,,,,,
9750,38,-4.0,-56.0,-60.0,250,,0.93825,,,,,
10000,39,-4.0,-55.0,-59.0,250,0.014178451150655746,0.9366666666666666,,,,,
10250,40,-3.0,-34.0,-37.0,250,,0.9350833333333334,,,,,
10500,41,12.0,-25.0,-13.0,250,0.0917801558971405,0.9335,,,,,
10750,42,21.0,-63.0,-42.0,250,,0.9319166666666667,,,,,
11000,43,-5.0,-50.0,-55.0,250,0.14503844268620014,0.9303333333333333,,,,,
11250,44,12.0,-30.0,-18.0,250,,0.92875,,,,,
11500,45,12.0,-26.0,-14.0,250,0.026219796389341354,0.9271666666666667,,,,,
11750,46,11.0,-48.0,-37.0,250,,0.9255833333333333,,,,,
12000,47,15.0,-54.0,-39.0,250,0.0784044973552227,0.924,,,,,
12250,48,15.0,-59.0,-44.0,250,,0.9224166666666667,,,,,
12500,49,4.0,-61.0,-57.0,250,0.06193543039262295,0.9208333333333334,,,,,
12750,50,-2.0,-43.0,-45.0,250,,0.91925,,,,,
13000,51,-2.0,-33.0,-35.0,250,0.14521940797567368,0.9176666666666666,,,,,
13250,52,-13.0,-45.0,-58.0,250,,0.9160833333333334,,,,,
13500,53,2.0,-53.0,-51.0,250,0.07462292723357677,0.9145,,,,,
13750,54,-19.0,-27.0,-46.0,250,,0.9129166666666667,,,,,
14000,55,1.0,-73.0,-72.0,250,0.13096828758716583,0.9113333333333333,,,,,
14250,56,10.0,-59.0,-49.0,250,,0.9097500000000001,,,,,
14500,57,-6.0,-52.0,-58.0,250,0.04313003737479448,0.9081666666666667,,,,,
14750,58,7.0,-60.0,-53.0,250,,0.9065833333333333,,,,,
15000,59,-14.0,-62.0,-76.0,250,0.21973544359207153,0.905,,,,,
15250,60,11.0,-81.0,-70.0,250,,0.9034166666666666,,,,,
15500,61,5.0,-57.0,-52.0,250,0.06252358667552471,0.9018333333333334,,,,,
15750,62,0.0,-34.0,-34.0,250,,0.90025,,,,,
16000,63,9.0,-32.0,-23.0,250,0.10479245893657207,0.8986666666666667,,,,,
16250,64,7.0,-53.0,-46.0,250,,0.8970833333333333,,,,,
16500,65,-18.0,-16.0,-34.0,250,0.06317158229649067,0.8955,,,,,
16750,66,-11.0,-67.0,-78.0,250,,0.8939166666666667,,,,,
17000,67,26.0,1.0,27.0,250,0.07244800589978695,0.8923333333333333,,,,,
17250,68,-9.0,-46.0,-55.0,250,,0.89075,,,,,
17500,69,10.0,-44.0,-34.0,250,0.07699194923043251,0.8891666666666667,,,,,
17750,70,-2.0,-40.0,-42.0,250,,0.8875833333333334,,,,,
18000,71,-16.0,-47.0,-63.0,250,0.06924103200435638,0.886,,,,,
18250,72,7.0,-49.0,-42.0,250,,0.8844166666666666,,,,,
18500,73,13.0,-50.0,-37.0,250,0.07655685767531395,0.8828333333333334,,,,,
18750,74,-12.0,-38.0,-50.0,250,,0.88125,,,,,
19000,75,10.0,-45.0,-35.0,250,0.033344365656375885,0.8796666666666667,,,,,
19250,76,3.0,-51.0,-48.0,250,,0.8780833333333333,,,,,
19500,77,11.0,-85.0,-74.0,250,0.03214654792100191,0.8765000000000001,,,,,
19750,78,12.0,-37.0,-25.0,250,,0.8749166666666667,,,,,
20000,79,5.0,-62.0,-57.0,250,0.05907299369573593,0.8733333333333333,,,,,
20250,80,5.0,-11.0,-6.0,250,,0.87175,,,,,
20500,81,10.0,-41.0,-31.0,250,0.0712248720228672,0.8701666666666666,,,,,
20750,82,14.0,-44.0,-30.0,250,,0.8685833333333334,,,,,
21000,83,-10.0,-23.0,-33.0,250,0.027721162885427475,0.867,,,,,
21250,84,8.0,-74.0,-66.0,250,,0.8654166666666667,,,,,
21500,85,3.0,5.0,8.0,250,0.046887755393981934,0.8638333333333333,,,,,
21750,86,8.0,-11.0,-3.0,250,,0.86225,,,,,
22000,87,11.0,-47.0,-36.0,250,0.06274743564426899,0.8606666666666667,,,,,
22250,88,7.0,-26.0,-19.0,250,,0.8590833333333333,,,,,
22500,89,9.0,-44.0,-35.0,250,0.0592527762055397,0.8575,,,,,
22750,90,15.0,-36.0,-21.0,250,,0.8559166666666667,,,,,
23000,91,-22.0,-27.0,-49.0,250,0.06400455627590418,0.8543333333333334,,,,,
23250,92,-4.0,-50.0,-54.0,250,,0.85275,,,,,
23500,93,8.0,-29.0,-21.0,250,0.02888287790119648,0.8511666666666666,,,,,
23750,94,10.0,-34.0,-24.0,250,,0.8495833333333334,,,,,
24000,95,18.0,-32.0,-14.0,250,0.02573684323579073,0.848,,,,,
24250,96,4.0,-34.0,-30.0,250,,0.8464166666666667,,,,,
24500,97,28.0,-41.0,-13.0,250,0.06050456874072552,0.8448333333333333,,,,,
24750,98,22.0,-30.0,-8.0,250,,0.84325,,,,,
25000,99,10.0,-47.0,-37.0,250,0.029569121077656746,0.8416666666666667,,,,,
25250,100,-5.0,-30.0,-35.0,250,,0.8400833333333333,,,,,
25500,101,-4.0,-57.0,-61.0,250,0.14317873865365982,0.8385,,,,,
25750,102,2.0,-37.0,-35.0,250,,0.8369166666666666,,,,,
26000,103,15.0,-51.0,-36.0,250,0.10541553422808647,0.8353333333333334,,,,,
26250,104,9.0,-55.0,-46.0,250,,0.83375,,,,,
26500,105,10.0,-66.0,-56.0,250,0.06104392185807228,0.8321666666666667,,,,,
26750,106,28.0,-21.0,7.0,250,,0.8305833333333333,,,,,
27000,107,-1.0,-33.0,-34.0,250,0.05791839770972729,0.829,,,,,
27250,108,15.0,-35.0,-20.0,250,,0.8274166666666667,,,,,
