env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
250,0,70.0,74.0,144.0,250,,0.9960416666666667,,,,,
500,1,62.0,59.0,121.0,250,,0.9920833333333333,,,,,
750,2,38.0,38.0,76.0,250,,0.988125,,,,,
1000,3,78.0,79.0,157.0,250,0.9839710295200348,0.9841666666666666,,,,,
1250,4,70.0,69.0,139.0,250,,0.9802083333333333,,,,,
1500,5,55.0,56.0,111.0,250,0.3456518054008484,0.97625,,,,,
1750,6,40.0,37.0,77.0,250,,0.9722916666666667,,,,,
2000,7,84.0,86.0,170.0,250,0.2662541940808296,0.9683333333333334,,,,,
2250,8,59.0,55.0,114.0,250,,0.964375,,,,,
2500,9,67.0,67.0,134.0,250,0.21062247455120087,0.9604166666666667,,,,,
2750,10,85.0,81.0,166.0,250,,0.9564583333333333,,,,,
3000,11,71.0,74.0,145.0,250,0.3292320668697357,0.9525,,,,,
3250,12,48.0,51.0,99.0,250,,0.9485416666666666,,,,,
3500,13,57.0,58.0,115.0,250,0.26340252161026,0.9445833333333333,,,,,
3750,14,68.0,71.0,139.0,250,,0.940625,,,,,
4000,15,61.0,57.0,118.0,250,0.20510593056678772,0.9366666666666666,,,,,
4250,16,60.0,54.0,114.0,250,,0.9327083333333334,,,,,
4500,17,52.0,56.0,108.0,250,0.30660149455070496,0.92875,,,,,
4750,18,66.0,66.0,132.0,250,,0.9247916666666667,,,,,
5000,19,42.0,42.0,84.0,250,0.21926771849393845,0.9208333333333334,,,,,
5250,20,71.0,69.0,140.0,250,,0.916875,,,,,
5500,21,86.0,88.0,174.0,250,0.26039088517427444,0.9129166666666667,,,,,
5750,22,74.0,73.0,147.0,250,,0.9089583333333333,,,,,
6000,23,60.0,57.0,117.0,250,0.17150022089481354,0.905,,,,,
6250,24,77.0,74.0,151.0,250,,0.9010416666666666,,,,,
6500,25,47.0,51.0,98.0,250,0.10056586749851704,0.8970833333333333,,,,,
6750,26,87.0,86.0,173.0,250,,0.893125,,,,,
7000,27,48.0,52.0,100.0,250,0.24505923688411713,0.8891666666666667,,,,,
7250,28,80.0,86.0,166.0,250,,0.8852083333333334,,,,,
7500,29,53.0,52.0,105.0,250,0.30524902790784836,0.88125,,,,,
7750,30,70.0,68.0,138.0,250,,0.8772916666666667,,,,,
8000,31,75.0,77.0,152.0,250,0.17232095077633858,0.8733333333333333,,,,,
8250,32,68.0,69.0,137.0,250,,0.869375,,,,,
8500,33,81.0,79.0,160.0,250,0.2048352286219597,0.8654166666666667,,,,,
8750,34,80.0,85.0,165.0,250,,0.8614583333333333,,,,,
9000,35,77.0,79.0,156.0,250,0.2639448642730713,0.8575,,,,,
9250,36,75.0,71.0,146.0,250,,0.8535416666666666,,,,,
9500,37,85.0,88.0,173.0,250,0.20170114189386368,0.8495833333333334,,,,,
9750,38,85.0,89.0,174.0,250,,0.8456250000000001,,,,,
10000,39,87.0,85.0,172.0,250,0.1876058429479599,0.8416666666666667,,,,,
10250,40,90.0,88.0,178.0,250,,0.8377083333333333,,,,,
10500,41,66.0,71.0,137.0,250,0.15710734575986862,0.83375,,,,,
10750,42,55.0,59.0,114.0,250,,0.8297916666666667,,,,,
11000,43,84.0,85.0,169.0,250,0.18128466606140137,0.8258333333333334,,,,,
11250,44,73.0,68.0,141.0,250,,0.821875,,,,,
11500,45,97.0,95.0,192.0,250,0.1534469649195671,0.8179166666666666,,,,,
11750,46,57.0,55.0,112.0,250,,0.8139583333333333,,,,,
12000,47,75.0,77.0,152.0,250,0.16000236570835114,0.81,,,,,
12250,48,73.0,72.0,145.0,250,,0.8060416666666667,,,,,
12500,49,70.0,72.0,142.0,250,0.11868375167250633,0.8020833333333334,,,,,
12750,50,75.0,76.0,151.0,250,,0.798125,,,,,
13000,51,84.0,85.0,169.0,250,0.1509009525179863,0.7941666666666667,,,,,
13250,52,68.0,65.0,133.0,250,,0.7902083333333334,,,,,
13500,53,70.0,73.0,143.0,250,0.14731082320213318,0.78625,,,,,
13750,54,83.0,84.0,167.0,250,,0.7822916666666667,,,,,
14000,55,89.0,86.0,175.0,250,0.22247329354286194,0.7783333333333333,,,,,
14250,56,85.0,85.0,170.0,250,,0.774375,,,,,
14500,57,60.0,60.0,120.0,250,0.18902508914470673,0.7704166666666666,,,,,
14750,58,78.0,78.0,156.0,250,,0.7664583333333334,,,,,
15000,59,86.0,83.0,169.0,250,0.19650037586688995,0.7625,,,,,
15250,60,71.0,73.0,144.0,250,,0.7585416666666667,,,,,
15500,61,64.0,75.0,139.0,250,0.11639958620071411,0.7545833333333334,,,,,
15750,62,83.0,78.0,161.0,250,,0.750625,,,,,
16000,63,77.0,78.0,155.0,250,0.20859676599502563,0.7466666666666667,,,,,
16250,64,91.0,93.0,184.0,250,,0.7427083333333333,,,,,
16500,65,75.0,76.0,151.0,250,0.1913912072777748,0.73875,,,,,
16750,66,59.0,60.0,119.0,250,,0.7347916666666667,,,,,
17000,67,44.0,46.0,90.0,250,0.22756163030862808,0.7308333333333333,,,,,
17250,68,87.0,80.0,167.0,250,,0.726875,,,,,
17500,69,115.0,115.0,230.0,250,0.2132783606648445,0.7229166666666667,,,,,
17750,70,107.0,106.0,213.0,250,,0.7189583333333334,,,,,
18000,71,83.0,87.0,170.0,250,0.22319898009300232,0.7150000000000001,,,,,
18250,72,86.0,86.0,172.0,250,,0.7110416666666667,,,,,
18500,73,91.0,88.0,179.0,250,0.20766567438840866,0.7070833333333333,,,,,
18750,74,81.0,81.0,162.0,250,,0.703125,,,,,
19000,75,73.0,80.0,153.0,250,0.1930048167705536,0.6991666666666667,,,,,
19250,76,103.0,104.0,207.0,250,,0.6952083333333333,,,,,
19500,77,73.0,72.0,145.0,250,0.22364415973424911,0.69125,,,,,
19750,78,94.0,99.0,193.0,250,,0.6872916666666666,,,,,
20000,79,87.0,83.0,170.0,250,0.2546878755092621,0.6833333333333333,,,,,
20250,80,63.0,67.0,130.0,250,,0.6793750000000001,,,,,
20500,81,62.0,67.0,129.0,250,0.2297775149345398,0.6754166666666667,,,,,
20750,82,90.0,91.0,181.0,250,,0.6714583333333334,,,,,
21000,83,100.0,99.0,199.0,250,0.24640951305627823,0.6675,,,,,
21250,84,74.0,72.0,146.0,250,,0.6635416666666667,,,,,
21500,85,76.0,74.0,150.0,250,0.20021145790815353,0.6595833333333334,,,,,
21750,86,120.0,121.0,241.0,250,,0.655625,,,,,
22000,87,88.0,91.0,179.0,250,0.23880741000175476,0.6516666666666667,,,,,
22250,88,78.0,78.0,156.0,250,,0.6477083333333333,,,,,
22500,89,71.0,74.0,145.0,250,0.18200458586215973,0.64375,,,,,
22750,90,116.0,120.0,236.0,250,,0.6397916666666668,,,,,
23000,91,119.0,119.0,238.0,250,0.22726482152938843,0.6358333333333333,,,,,
23250,92,122.0,125.0,247.0,250,,0.631875,,,,,
23500,93,79.0,79.0,158.0,250,0.21220969408750534,0.6279166666666667,,,,,
23750,94,113.0,114.0,227.0,250,,0.6239583333333334,,,,,
24000,95,107.0,108.0,215.0,250,0.14147644862532616,0.62,,,,,
24250,96,84.0,85.0,169.0,250,,0.6160416666666666,,,,,
24500,97,97.0,100.0,197.0,250,0.1871890276670456,0.6120833333333333,,,,,
24750,98,105.0,105.0,210.0,250,,0.608125,,,,,
25000,99,93.0,98.0,191.0,250,0.20730198919773102,0.6041666666666667,,,,,
25250,100,96.0,95.0,191.0,250,,0.6002083333333333,,,,,
25500,101,77.0,75.0,152.0,250,0.310396246612072,0.59625,,,,,
25750,102,100.0,103.0,203.0,250,,0.5922916666666667,,,,,
26000,103,104.0,107.0,211.0,250,0.20777349919080734,0.5883333333333334,,,,,
26250,104,119.0,117.0,236.0,250,,0.5843750000000001,,,,,
26500,105,81.0,80.0,161.0,250,0.20491429418325424,0.5804166666666667,,,,,
26750,106,100.0,104.0,204.0,250,,0.5764583333333333,,,,,
27000,107,72.0,64.0,136.0,250,0.2878076285123825,0.5725,,,,,
27250,108,97.0,98.0,195.0,250,,0.5685416666666667,,,,,
27500,109,96.0,92.0,188.0,250,0.1785346269607544,0.5645833333333334,,,,,
27750,110,97.0,96.0,193.0,250,,0.5606249999999999,,,,,
28000,111,122.0,120.0,242.0,250,0.16233780980110168,0.5566666666666666,,,,,
28250,112,100.0,101.0,201.0,250,,0.5527083333333334,,,,,
28500,113,96.0,100.0,196.0,250,0.1856631636619568,0.5487500000000001,,,,,
28750,114,93.0,91.0,184.0,250,,0.5447916666666667,,,,,
29000,115,91.0,87.0,178.0,250,0.3788744658231735,0.5408333333333333,,,,,
29250,116,100.0,102.0,202.0,250,,0.536875,,,,,
29500,117,111.0,108.0,219.0,250,0.3068285137414932,0.5329166666666667,,,,,
29750,118,105.0,102.0,207.0,250,,0.5289583333333334,,,,,
30000,119,90.0,93.0,183.0,250,0.20187757164239883,0.525,,,,,
30250,120,77.0,76.0,153.0,250,,0.5210416666666666,,,,,
30500,121,98.0,99.0,197.0,250,0.23103715479373932,0.5170833333333333,,,,,
30750,122,74.0,75.0,149.0,250,,0.513125,,,,,
31000,123,108.0,106.0,214.0,250,0.20625080913305283,0.5091666666666667,,,,,
31250,124,99.0,102.0,201.0,250,,0.5052083333333333,,,,,
31500,125,89.0,88.0,177.0,250,0.20073436200618744,0.50125,,,,,
31750,126,111.0,116.0,227.0,250,,0.4972916666666667,,,,,
32000,127,112.0,110.0,222.0,250,0.2539834529161453,0.4933333333333334,,,,,
32250,128,98.0,100.0,198.0,250,,0.489375,,,,,
32500,129,119.0,118.0,237.0,250,0.22525545209646225,0.4854166666666667,,,,,
32750,130,109.0,108.0,217.0,250,,0.48145833333333343,,,,,
33000,131,92.0,94.0,186.0,250,0.2480916902422905,0.47750000000000004,,,,,
33250,132,109.0,108.0,217.0,250,,0.47354166666666664,,,,,
33500,133,99.0,100.0,199.0,250,0.2714023143053055,0.46958333333333335,,,,,
33750,134,102.0,101.0,203.0,250,,0.46562500000000007,,,,,
34000,135,113.0,110.0,223.0,250,0.23607739061117172,0.46166666666666667,,,,,
34250,136,108.0,106.0,214.0,250,,0.4577083333333334,,,,,
34500,137,90.0,96.0,186.0,250,0.16918690502643585,0.4537500000000001,,,,,
34750,138,98.0,101.0,199.0,250,,0.4497916666666666,,,,,
35000,139,117.0,119.0,236.0,250,0.27099230885505676,0.4458333333333333,,,,,
35250,140,121.0,119.0,240.0,250,,0.441875,,,,,
35500,141,96.0,95.0,191.0,250,0.28155675530433655,0.43791666666666673,,,,,
35750,142,115.0,118.0,233.0,250,,0.43395833333333333,,,,,
36000,143,101.0,101.0,202.0,250,0.24879789352416992,0.43000000000000005,,,,,
36250,144,108.0,107.0,215.0,250,,0.42604166666666676,,,,,
36500,145,84.0,85.0,169.0,250,0.15868005901575089,0.42208333333333337,,,,,
36750,146,115.0,115.0,230.0,250,,0.41812499999999997,,,,,
37000,147,127.0,132.0,259.0,250,0.3688705414533615,0.4141666666666667,,,,,
37250,148,122.0,124.0,246.0,250,,0.4102083333333334,,,,,
37500,149,112.0,111.0,223.0,250,0.17319544777274132,0.40625,,,,,
37750,150,132.0,130.0,262.0,250,,0.4022916666666667,,,,,
38000,151,98.0,92.0,190.0,250,0.33674217760562897,0.39833333333333343,,,,,
38250,152,117.0,113.0,230.0,250,,0.39437500000000003,,,,,
38500,153,108.0,109.0,217.0,250,0.26584431529045105,0.39041666666666663,,,,,
38750,154,96.0,98.0,194.0,250,,0.38645833333333335,,,,,
39000,155,103.0,105.0,208.0,250,0.2075667530298233,0.38250000000000006,,,,,
39250,156,83.0,80.0,163.0,250,,0.37854166666666667,,,,,
39500,157,145.0,144.0,289.0,250,0.30153127014636993,0.3745833333333334,,,,,
39750,158,96.0,94.0,190.0,250,,0.3706250000000001,,,,,
40000,159,143.0,139.0,282.0,250,0.2693996876478195,0.3666666666666667,,,,,
40250,160,121.0,119.0,240.0,250,,0.3627083333333334,,,,,
40500,161,110.0,110.0,220.0,250,0.25226398557424545,0.35875,,,,,
40750,162,118.0,118.0,236.0,250,,0.3547916666666666,,,,,
41000,163,158.0,155.0,313.0,250,0.28681206703186035,0.35083333333333333,,,,,
41250,164,143.0,133.0,276.0,250,,0.34687500000000004,,,,,
41500,165,118.0,115.0,233.0,250,0.19232123345136642,0.34291666666666676,,,,,
41750,166,115.0,114.0,229.0,250,,0.33895833333333336,,,,,
42000,167,118.0,114.0,232.0,250,0.1808214709162712,0.3350000000000001,,,,,
42250,168,139.0,142.0,281.0,250,,0.3310416666666667,,,,,
42500,169,98.0,101.0,199.0,250,0.26670533418655396,0.3270833333333333,,,,,
42750,170,134.0,133.0,267.0,250,,0.323125,,,,,
43000,171,112.0,112.0,224.0,250,0.20085139572620392,0.3191666666666667,,,,,
43250,172,148.0,147.0,295.0,250,,0.3152083333333334,,,,,
43500,173,101.0,101.0,202.0,250,0.2127891406416893,0.31125,,,,,
43750,174,126.0,129.0,255.0,250,,0.30729166666666674,,,,,
44000,175,88.0,91.0,179.0,250,0.22171707451343536,0.30333333333333345,,,,,
